player_name,archetype,data_origin,pes_public_base_ovr,ef_public_base_ovr,pes_screenshot_ovr,pes_screenshot_position,pes_age,pes_height_cm,pes_weight_kg,pes_offensive_awareness,pes_finishing,pes_kicking_power,pes_weak_foot_usage,pes_weak_foot_accuracy,pes_ball_control,pes_dribbling,pes_tight_possession,pes_balance,pes_low_pass,pes_lofted_pass,pes_place_kicking,pes_curl,pes_heading,pes_jump,pes_defensive_awareness,pes_ball_winning,pes_aggression,pes_speed,pes_acceleration,pes_physical_contact,pes_stamina,pes_form,pes_injury_resistance,pes_gk_awareness,pes_gk_catching,pes_gk_clearing,pes_gk_reflexes,pes_gk_reach,ef_screenshot_ovr,ef_screenshot_position,ef_playing_style,ef_booster_1,ef_booster_2,ef_age,ef_height_cm,ef_weight_kg,ef_foot,ef_condition,ef_offensive_awareness,ef_ball_control,ef_dribbling,ef_tight_possession,ef_low_pass,ef_lofted_pass,ef_finishing,ef_heading,ef_place_kicking,ef_curl,ef_defensive_awareness,ef_defensive_engagement,ef_tackling,ef_aggression,ef_goalkeeping,ef_gk_catching,ef_gk_parrying,ef_gk_reflexes,ef_gk_reach,ef_speed,ef_acceleration,ef_kicking_power,ef_jump,ef_physical,ef_balance,ef_stamina
Ivan Zamorano,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,91,101,91,CF,31,178,78,93,92,87,2,3,90,77,75,76,78,72,66,62,92,96,56,48,67,88,83,88,88,6,2,40,40,40,40,40,101,CF,Fox In The Box,,,28,178,78,Right,B,83,76,67,65,66,60,80,82,59,56,47,49,44,56,40,40,40,40,40,76,74,77,84,74,65,73
Jaime Mata,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,92,94,92,CF,32,185,79,95,91,91,2,2,85,84,85,81,78,74,71,73,85,78,63,61,72,89,85,92,91,5,3,40,40,40,40,40,94,CF,Goal Poacher,,,37,185,79,Right,C,86,79,75,74,69,67,86,77,60,64,50,66,53,76,40,40,40,40,40,75,72,85,75,78,65,68
Jamie Vardy,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,96,101,96,CF,33,179,74,98,97,93,3,3,88,83,85,93,80,76,75,76,79,85,60,65,94,95,91,79,94,6,2,40,40,40,40,40,101,CF,Goal Poacher,,,38,179,74,Right,C,81,74,74,72,65,60,80,70,63,65,45,56,47,65,40,40,40,40,40,82,81,77,67,69,68,73
Jan Koller,Target Man CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,90,102,90,CF,28,202,99,92,91,89,2,3,72,75,82,77,77,71,79,72,99,94,65,61,72,78,72,99,82,7,1,40,40,40,40,40,102,CF,Target Man,,,31,202,99,Right,B,80,67,68,67,64,64,82,86,68,61,52,54,51,58,40,40,40,40,40,70,64,81,73,86,63,76
Karim Benzema,Deep-Lying Forward CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,101,97,CF,33,185,81,95,93,91,2,2,98,93,95,82,90,80,76,83,91,85,57,61,83,87,83,90,87,7,2,40,40,40,40,40,101,CF,Deep-Lying Forward,,,38,185,81,Right,C,81,83,76,79,76,64,80,78,66,73,43,59,49,57,40,40,40,40,40,70,65,78,70,73,65,67
Kelechi Iheanacho,Dummy Runner CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,92,87,CF,24,185,,83,84,83,0,1,84,83,83,79,79,74,68,73,70,72,54,55,69,88,77,80,80,1,2,40,40,40,40,40,92,CF,Dummy Runner,,,29,185,82,Left,B,83,84,81,83,79,74,81,70,68,73,51,58,55,69,40,40,40,40,40,81,77,83,72,80,83,80
Kevin Volland,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,95,94,CF,28,179,83,89,90,96,1,3,89,93,88,93,86,78,84,83,76,86,61,68,77,87,91,85,93,6,1,40,40,40,40,40,95,CF,Goal Poacher,,,33,179,83,Left,C,74,73,73,71,72,68,77,64,69,68,49,64,52,66,40,40,40,40,40,68,70,77,67,71,78,73
Kylian Mbappe,Goal Poacher CF,paired from user-provided screenshots; public URLs found via web,91,86,101,CF,22,178,73,97,96,87,3,3,99,99,96,97,84,80,80,85,83,92,66,62,67,99,99,85,91,7,2,40,40,40,40,40,107.03,CF,Goal Poacher,Striker's Instinct +,Striker's Instinct +,27,178,75,Right,C,96,89,90,84,74,70,99,61,78,89,44,44,45,46,42,41,41,41,41,96,101,91,70,80,92,84
Lautaro Martinez,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,97,102,97,CF,23,174,79,93,96,94,3,3,95,90,89,90,82,82,77,86,88,85,57,60,84,91,90,85,88,7,2,40,40,40,40,40,102,CF,Goal Poacher,,,28,174,79,Right,A,81,75,74,75,63,61,80,74,58,68,48,53,51,56,40,40,40,40,40,78,83,75,76,75,74,76
Lucas Alario,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,87,94,CF,27,184,79,92,95,90,3,3,88,85,85,81,86,76,81,72,90,90,58,59,76,87,82,87,84,5,2,40,40,40,40,40,87,CF,Fox In The Box,,,33,185,78,Right,C,67,70,64,69,66,58,65,73,62,61,44,55,46,56,40,40,40,40,40,63,62,74,71,72,58,62
Luciano,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,94,87,CF,27,178,,84,89,87,2,2,85,82,84,76,79,76,71,75,74,74,58,56,64,82,86,74,82,0,1,40,40,40,40,40,94,CF,Deep-Lying Forward,,,32,178,69,Left,B,84,85,84,84,80,76,84,74,71,75,53,54,56,64,40,40,40,40,40,84,86,87,74,74,83,82
Luis Muriel,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,95,94,CF,29,179,79,90,91,91,2,3,89,94,88,90,82,81,90,87,78,76,54,57,64,91,91,86,84,4,2,40,40,40,40,40,95,CF,Goal Poacher,,,34,179,79,Right,B,73,79,79,76,71,70,78,60,72,70,43,49,45,54,40,40,40,40,40,75,77,73,54,66,76,64
Luis Suárez,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,98,104,98,CF,33,182,86,99,95,92,3,3,91,90,91,95,87,83,89,90,84,79,59,65,97,77,82,93,91,6,1,40,40,40,40,40,104,CF,Goal Poacher,,,26,182,83,Right,B,79,79,81,82,70,65,79,67,73,76,48,56,48,57,40,40,40,40,40,79,81,78,66,75,78,76
Luka Jovic,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,96,96,96,CF,22,181,79,93,95,90,3,4,89,87,89,88,82,78,78,79,90,88,62,66,76,92,90,86,90,5,2,40,40,40,40,40,96,CF,Fox In The Box,,,28,182,85,Right,C,75,74,70,73,67,64,75,78,60,64,43,43,45,48,40,40,40,40,40,70,72,81,73,77,70,65
Luuk de Jong,Fox In The Box CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,92,98,92,CF,30,188,86,91,94,92,3,3,86,84,83,75,80,75,78,74,97,90,60,63,69,78,70,92,88,5,3,40,40,40,40,40,98,CF,Fox In The Box,,,35,188,86,Right,C,78,70,65,65,67,65,75,83,66,65,51,60,56,66,40,40,40,40,40,68,66,75,81,80,60,76
M. Salas,Deep-Lying Forward CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,93,91,93,CF,24,173,73,81,93,97,2,3,86,86,88,92,79,87,87,80,94,99,62,59,70,83,92,80,74,6,2,40,40,40,40,40,91,CF,Deep-Lying Forward,,,28,174,82,Left,C,72,69,67,69,65,64,69,62,60,60,48,61,59,74,40,40,40,40,40,71,73,76,68,75,75,71
Marco van Basten,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,90,94,CF,28,188,,86,97,80,2,2,80,88,74,85,80,71,70,70,83,73,50,50,54,81,76,81,75,2,1,40,40,40,40,40,90,CF,Fox In The Box,,,24,188,80,Right,C,86,80,75,74,72,71,84,83,70,70,47,60,50,54,40,40,40,40,40,74,76,80,73,81,71,75
Marcus Rashford,Prolific Winger CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,93,91,CF,22,187,,78,88,91,1,2,84,88,84,81,79,68,86,81,68,66,54,44,56,95,89,75,79,1,0,40,40,40,40,40,93,LWF,Prolific Winger,,,28,188,80,Right,A,78,84,88,84,69,68,82,68,86,81,42,50,44,56,40,40,40,40,40,88,89,91,66,75,79,79
Marko Arnautović,Dummy Runner CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,98,95,CF,31,192,83,90,89,94,2,3,91,91,87,80,85,84,82,87,81,81,63,67,94,92,87,94,86,8,2,40,40,40,40,40,98,CF,Dummy Runner,,,36,192,83,Right,C,74,76,70,72,68,66,74,73,67,73,52,63,56,68,40,40,40,40,40,70,67,78,67,80,67,70
Martin Braithwaite,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,94,87,CF,29,177,,86,84,86,2,2,84,84,83,85,75,65,68,68,70,76,55,48,60,90,87,79,82,1,2,40,40,40,40,40,94,CF,Goal Poacher,,,34,177,73,Right,B,86,84,85,83,68,65,85,70,68,68,49,56,48,60,40,40,40,40,40,88,87,86,76,79,78,82
Mauro Icardi,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,93,91,CF,26,181,,87,51,85,2,3,79,92,80,79,80,62,60,68,76,75,82,40,55,76,84,84,80,0,0,40,40,40,40,40,93,CF,Fox In The Box,,,32,181,75,Right,B,87,79,82,80,71,62,87,76,60,68,44,48,40,55,40,40,40,40,40,81,84,85,75,75,79,80
Memphis Depay,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,94,93,CF,26,176,,83,90,87,1,2,84,94,85,88,86,76,80,79,73,71,50,50,68,90,86,79,81,2,0,40,40,40,40,40,94,CF,Deep-Lying Forward,,,31,176,78,Right,B,83,84,85,85,81,76,84,73,80,79,47,51,50,68,40,40,40,40,40,85,86,87,71,79,84,81
Michael Owen,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,86,89,CF,21,173,,78,92,80,2,3,79,87,78,67,72,63,58,68,72,72,47,48,50,92,83,67,72,1,1,40,40,40,40,40,86,CF,Goal Poacher,,,25,173,70,Right,C,78,79,81,78,67,63,81,72,58,68,49,49,48,50,40,40,40,40,40,81,83,80,72,67,78,72
Moise Kean,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,98,99,98,CF,20,182,67,91,92,91,3,3,93,94,91,91,82,84,78,84,86,92,63,67,87,97,96,88,94,5,2,40,40,40,40,40,99,CF,Goal Poacher,,,25,182,72,Right,C,84,85,85,84,64,61,85,73,65,68,45,54,49,66,40,40,40,40,40,88,85,87,74,85,72,82
Odsonne Edouard,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,95,96,95,CF,22,187,83,91,95,90,3,2,87,86,83,84,83,78,86,85,91,88,58,65,80,88,92,93,82,6,2,40,40,40,40,40,96,CF,Goal Poacher,,,27,187,83,Right,D,75,74,73,75,66,57,72,66,71,66,45,50,49,57,40,40,40,40,40,74,67,74,79,74,67,71
Olivier Giroud,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,94,91,CF,33,192,,89,62,87,1,1,83,89,81,61,97,75,68,68,93,88,77,55,79,83,66,71,78,1,1,40,40,40,40,40,94,CF,Fox In The Box,,,39,193,91,Left,B,89,83,71,81,79,75,87,93,68,68,51,71,55,79,40,40,40,40,40,68,66,87,88,90,61,78
P. E. Aubameyang,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,93,93,CF,31,187,,90,90,82,1,2,80,85,76,76,74,65,70,76,75,80,52,53,54,98,82,75,72,0,1,40,40,40,40,40,93,CF,Goal Poacher,,,36,187,80,Right,B,90,80,84,76,74,65,85,75,70,76,49,52,53,54,40,40,40,40,40,88,82,82,80,75,66,72
Paco Alcácer,Goal Poacher CF,scraped from PES Master 2020 + PES Master 2021 + eFHUB Smart max,94,90,94,CF,27,175,71,92,92,92,3,3,92,78,88,87,78,75,78,76,89,83,69,66,86,86,88,77,90,5,1,40,40,40,40,40,90,CF,Goal Poacher,,,32,175,71,Right,C,74,71,64,67,63,57,74,69,67,64,43,48,47,53,40,40,40,40,40,64,68,74,67,58,69,62
Patrik Schick,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,94,88,CF,24,186,,85,85,88,1,2,84,85,84,84,82,71,66,68,80,75,57,50,56,83,76,83,80,2,0,40,40,40,40,40,94,CF,Goal Poacher,,,29,186,73,Left,B,85,84,84,84,72,71,84,80,66,68,51,56,50,56,40,40,40,40,40,86,76,88,75,83,72,80
