player_name,archetype,data_origin,pes_public_base_ovr,ef_public_base_ovr,pes_screenshot_ovr,pes_screenshot_position,pes_age,pes_height_cm,pes_weight_kg,pes_offensive_awareness,pes_finishing,pes_kicking_power,pes_weak_foot_usage,pes_weak_foot_accuracy,pes_ball_control,pes_dribbling,pes_tight_possession,pes_balance,pes_low_pass,pes_lofted_pass,pes_place_kicking,pes_curl,pes_heading,pes_jump,pes_defensive_awareness,pes_ball_winning,pes_aggression,pes_speed,pes_acceleration,pes_physical_contact,pes_stamina,pes_form,pes_injury_resistance,pes_gk_awareness,pes_gk_catching,pes_gk_clearing,pes_gk_reflexes,pes_gk_reach,ef_screenshot_ovr,ef_screenshot_position,ef_playing_style,ef_booster_1,ef_booster_2,ef_age,ef_height_cm,ef_weight_kg,ef_foot,ef_condition,ef_offensive_awareness,ef_ball_control,ef_dribbling,ef_tight_possession,ef_low_pass,ef_lofted_pass,ef_finishing,ef_heading,ef_place_kicking,ef_curl,ef_defensive_awareness,ef_defensive_engagement,ef_tackling,ef_aggression,ef_goalkeeping,ef_gk_catching,ef_gk_parrying,ef_gk_reflexes,ef_gk_reach,ef_speed,ef_acceleration,ef_kicking_power,ef_jump,ef_physical,ef_balance,ef_stamina
Martin Braithwaite,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,94,87,CF,29,177,,86,84,86,2,2,84,84,83,85,75,65,68,68,70,76,55,48,60,90,87,79,82,1,2,40,40,40,40,40,94,CF,Goal Poacher,,,34,177,73,Right,B,86,84,85,83,68,65,85,70,68,68,49,56,48,60,40,40,40,40,40,88,87,86,76,79,78,82
Mauro Icardi,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,93,91,CF,26,181,,87,51,85,2,3,79,92,80,79,80,62,60,68,76,75,82,40,55,76,84,84,80,0,0,40,40,40,40,40,93,CF,Fox In The Box,,,32,181,75,Right,B,87,79,82,80,71,62,87,76,60,68,44,48,40,55,40,40,40,40,40,81,84,85,75,75,79,80
Memphis Depay,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,94,93,CF,26,176,,83,90,87,1,2,84,94,85,88,86,76,80,79,73,71,50,50,68,90,86,79,81,2,0,40,40,40,40,40,94,CF,Deep-Lying Forward,,,31,176,78,Right,B,83,84,85,85,81,76,84,73,80,79,47,51,50,68,40,40,40,40,40,85,86,87,71,79,84,81
Michael Owen,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,86,89,CF,21,173,,78,92,80,2,3,79,87,78,67,72,63,58,68,72,72,47,48,50,92,83,67,72,1,1,40,40,40,40,40,86,CF,Goal Poacher,,,25,173,70,Right,C,78,79,81,78,67,63,81,72,58,68,49,49,48,50,40,40,40,40,40,81,83,80,72,67,78,72
Moise Kean,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,94,88,CF,20,182,,84,85,87,2,2,85,86,84,80,75,61,65,68,73,74,55,49,66,89,85,85,82,1,1,40,40,40,40,40,94,CF,Goal Poacher,,,25,182,72,Right,B,84,85,85,84,64,61,85,73,65,68,45,54,49,66,40,40,40,40,40,88,85,87,74,85,72,82
Olivier Giroud,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,94,91,CF,33,192,,89,62,87,1,1,83,89,81,61,97,75,68,68,93,88,77,55,79,83,66,71,78,1,1,40,40,40,40,40,94,CF,Fox In The Box,,,39,193,91,Left,B,89,83,71,81,79,75,87,93,68,68,51,71,55,79,40,40,40,40,40,68,66,87,88,90,61,78
P. E. Aubameyang,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,93,93,CF,31,187,,90,90,82,1,2,80,85,76,76,74,65,70,76,75,80,52,53,54,98,82,75,72,0,1,40,40,40,40,40,93,CF,Goal Poacher,,,36,187,80,Right,B,90,80,84,76,74,65,85,75,70,76,49,52,53,54,40,40,40,40,40,88,82,82,80,75,66,72
Patrik Schick,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,94,88,CF,24,186,,85,85,88,1,2,84,85,84,84,82,71,66,68,80,75,57,50,56,83,76,83,80,2,0,40,40,40,40,40,94,CF,Goal Poacher,,,29,186,73,Left,B,85,84,84,84,72,71,84,80,66,68,51,56,50,56,40,40,40,40,40,86,76,88,75,83,72,80
Rafael Leao,Hybrid forward CF / dribbler,paired from user-provided screenshots; public URLs found via web,79,84,94,CF,21,188,81,87,87,89,2,2,95,94,87,83,81,73,77,82,84,84,62,63,74,98,97,88,88,5,2,40,40,40,40,40,104.22,LMF,Hole Player,Ball-carrying +2,Off the Ball +1,22,188,81,Right,B,85,89,97,93,92,78,85,63,67,81,46,54,49,60,41,41,41,41,41,100,97,88,70,81,97,87
Robert Lewandowski,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",97,102,97,CF,32,185,,94,98,94,2,2,87,87,72,87,77,68,75,64,87,86,52,45,77,85,76,90,67,2,2,40,40,40,40,40,102,CF,Goal Poacher,,,37,185,81,Right,C,94,87,73,72,70,68,99,87,75,64,42,59,45,77,40,40,40,40,40,72,76,94,86,90,85,67
Roberto Firmino,Deep-Lying Forward CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,94,92,CF,29,181,,85,83,81,1,2,90,88,91,79,90,80,72,82,75,80,53,57,75,84,77,77,89,1,1,40,40,40,40,40,94,CF,Deep-Lying Forward,,,34,181,76,Right,B,85,90,81,91,85,80,79,75,72,82,56,80,57,75,40,40,40,40,40,82,77,81,80,77,85,89
Rodrigo,Destroyer CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,93,88,CF,29,182,,47,84,70,1,1,58,87,50,71,85,63,56,57,78,82,53,89,89,90,69,91,83,1,1,40,40,40,40,40,93,CB,Destroyer,,,38,187,88,Right,B,47,58,54,50,60,63,52,78,56,57,93,85,89,89,40,40,40,40,40,77,69,70,82,91,57,83
Romelu Lukaku,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,95,93,CF,27,191,,87,91,89,2,3,78,84,74,99,76,72,68,70,81,74,54,55,69,92,81,92,83,2,0,40,40,40,40,40,95,CF,Goal Poacher,,,32,191,94,Left,B,87,78,77,74,85,72,85,81,68,70,50,58,55,69,40,40,40,40,40,86,81,89,74,92,64,83
Tammy Abraham,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",90,93,90,CF,22,191,,85,61,85,1,1,81,89,82,74,90,64,61,65,78,72,77,50,61,75,83,86,81,0,0,40,40,40,40,40,93,CF,Goal Poacher,,,28,194,87,Right,B,85,81,78,82,72,64,83,78,61,65,50,58,50,61,40,40,40,40,40,85,83,85,72,80,74,81
Victor Osimhen,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,96,89,CF,22,185,,86,86,84,0,1,82,80,81,85,75,62,75,68,84,81,56,50,68,95,87,82,80,2,1,40,40,40,40,40,96,CF,Goal Poacher,,,27,186,78,Right,B,86,82,84,81,64,62,87,84,75,68,52,64,50,68,40,40,40,40,40,88,87,84,81,82,73,80
Wissam Ben Yedder,Goal Poacher CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,94,92,CF,29,170,,90,59,80,3,2,82,92,85,86,76,66,78,76,75,82,90,56,66,79,84,82,75,2,1,40,40,40,40,40,94,CF,Goal Poacher,,,35,170,68,Right,B,90,82,85,85,75,66,89,75,78,76,58,59,56,66,40,40,40,40,40,76,84,80,82,68,86,75
Wout Weghorst,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",91,92,91,CF,28,197,,89,93,86,1,2,77,74,73,97,78,60,61,60,88,73,63,58,79,75,65,92,78,1,2,40,40,40,40,40,92,CF,Fox In The Box,,,33,197,84,Right,B,89,77,70,73,68,60,87,88,61,60,54,59,58,79,40,40,40,40,40,69,65,86,73,92,62,78
Youssef En Nesyri,Fox In The Box CF,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",87,93,87,CF,23,189,,85,87,85,1,1,82,82,77,82,72,61,55,60,83,85,69,44,71,89,84,80,82,1,1,40,40,40,40,40,93,CF,Fox In The Box,,,28,189,73,Left,B,85,82,83,77,63,61,84,83,55,60,46,68,44,71,40,40,40,40,40,85,84,85,85,80,62,82
Zlatan Ibrahimovic,Fox in the box CF,paired from user-provided screenshots; public URLs found via web,85,88,94,CF,39,195,95,91,92,97,4,3,93,85,88,82,90,82,85,79,90,83,54,55,70,74,68,96,80,7,1,40,40,40,40,40,110.35,CF,Fox In The Box,Shooting +5,Striker's Instinct +,28,195,95,Right,B,98,85,84,82,71,65,100,84,82,83,43,46,43,49,42,41,41,41,41,89,93,96,90,95,82,82
Alessandro Del Piero,Classic No. 10 SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,88,93,SS,34,173,,77,92,81,3,2,81,93,80,69,85,74,85,86,67,65,51,46,51,85,79,60,76,1,0,40,40,40,40,40,88,SS,Classic No. 10,,,22,173,73,Right,C,77,81,83,80,78,74,81,67,85,86,44,50,46,51,40,40,40,40,40,80,79,81,65,60,83,76
Dennis Bergkamp,Creative Playmaker SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",94,90,94,SS,32,188,,82,92,78,0,2,90,95,87,82,96,77,71,78,65,61,53,46,66,79,67,72,69,2,1,40,40,40,40,40,90,SS,Creative Playmaker,,,30,183,79,Right,C,82,90,84,87,85,77,81,65,71,78,48,52,46,66,40,40,40,40,40,69,67,78,61,72,76,69
Diego Maradona,Classic No. 10 SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",97,88,97,SS,27,164,,78,96,75,1,2,83,99,85,78,92,75,82,78,70,71,42,53,60,82,83,60,75,2,1,40,40,40,40,40,88,SS,Classic No. 10,,,23,164,70,Left,C,78,83,84,85,78,75,78,70,82,78,50,50,53,60,40,40,40,40,40,79,83,75,71,60,84,75
Francesco Totti,Deep-Lying Forward SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,88,92,SS,30,180,,81,94,81,2,2,77,86,79,84,91,77,78,76,70,73,58,57,65,74,76,71,76,2,0,40,40,40,40,40,88,SS,Deep-Lying Forward,,,25,180,82,Right,C,81,77,75,79,80,77,83,70,78,76,51,55,57,65,40,40,40,40,40,74,76,81,73,71,79,76
Joaquin Correa,Deep-Lying Forward SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",89,90,89,SS,26,188,,83,81,82,1,1,85,92,82,86,83,70,66,75,69,67,53,50,55,88,83,75,78,0,1,40,40,40,40,40,90,CF,Deep-Lying Forward,,,31,188,77,Right,B,83,85,84,82,85,70,79,69,66,75,53,57,50,55,40,40,40,40,40,80,83,82,67,75,77,78
Jonathan David,Goal Poacher SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",88,95,88,SS,20,177,,87,85,81,2,3,80,85,77,70,83,66,68,67,74,78,50,54,56,90,91,83,79,2,2,40,40,40,40,40,95,CF,Goal Poacher,,,25,177,77,Right,B,87,80,80,77,70,66,87,74,68,67,55,61,54,56,40,40,40,40,40,90,91,81,78,83,80,79
K. Heinz Rummenigge,Goal Poacher SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",93,90,93,SS,25,182,,84,91,83,2,3,78,90,85,82,75,63,66,69,76,80,66,54,61,93,85,74,74,2,0,40,40,40,40,40,90,SS,Goal Poacher,,,26,182,79,Right,C,84,78,81,85,67,63,83,76,66,69,57,65,54,61,40,40,40,40,40,91,85,83,80,74,70,74
K. Rummenigge,Finisher CF/SS,paired from user-provided screenshots; public URLs found via web,93,87,99,SS,26,182,79,97,97,95,3,4,96,96,97,85,82,81,77,77,90,94,72,68,73,99,96,89,92,7,1,40,40,40,40,40,108.35,CF,Goal Poacher,Striker's Instinct +,Striker's Instinct +,27,182,79,Right,B,96,84,85,85,72,64,96,78,77,85,60,60,58,62,41,41,41,41,41,96,100,93,84,87,90,84
Paulo Dybala,Creative Playmaker SS,"scraped from pesmaster.com (PES 2020/2021 max ovr, myClub) + efhub.com (max overall fallback API)",92,95,92,SS,26,177,,88,52,84,0,1,89,88,87,87,69,80,81,86,63,56,91,56,64,87,85,83,81,2,0,40,40,40,40,40,95,AMF,Creative Playmaker,,,32,177,75,Left,B,88,89,86,87,85,80,83,63,81,86,47,52,56,64,40,40,40,40,40,81,85,84,56,68,87,81
